Date,Symbol,Type,PreviousClose,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2008-01-01,MOCK_STOCK1,EQ,245.50,246.00,251.80,243.20,249.10,249.35,247.90,185420,4598405180000.0,4120,112890,0.6088
2008-01-02,MOCK_STOCK1,EQ,249.35,250.00,254.60,247.50,252.80,253.10,251.20,212350,5334227200000.0,4680,128640,0.6058
2008-01-03,MOCK_STOCK1,EQ,253.10,252.40,255.00,248.90,250.20,249.75,251.55,168900,4248681450000.0,3890,104850,0.6208
2008-01-04,MOCK_STOCK1,EQ,249.75,248.50,250.40,241.00,242.80,243.15,245.60,298740,7337048640000.0,6720,201450,0.6743
2008-01-07,MOCK_STOCK1,EQ,243.15,244.00,248.90,242.10,247.50,247.80,245.95,176510,4339418045000.0,4010,109820,0.6222
2008-01-08,MOCK_STOCK1,EQ,247.80,248.20,252.00,246.00,250.60,250.90,249.10,154280,3843115480000.0,3560,92840,0.6018
2008-01-09,MOCK_STOCK1,EQ,250.90,251.50,257.40,250.20,255.80,256.25,254.00,241860,6143244000000.0,5280,148920,0.6157
2008-01-10,MOCK_STOCK1,EQ,256.25,255.00,256.80,249.50,251.20,250.60,252.40,203410,5134066840000.0,4590,131450,0.6462
2008-01-11,MOCK_STOCK1,EQ,250.60,251.00,253.50,247.80,249.00,248.40,250.20,142670,3569585340000.0,3280,86740,0.6079
2008-01-14,MOCK_STOCK1,EQ,248.40,249.20,254.10,248.00,253.00,253.40,251.30,188920,4747457960000.0,4250,116380,0.6160
2008-01-15,MOCK_STOCK1,EQ,253.40,254.00,259.80,252.50,258.20,258.70,256.10,267540,6851690940000.0,5910,164820,0.6161
2008-01-16,MOCK_STOCK1,EQ,258.70,257.50,258.90,251.00,252.40,252.10,254.60,229870,5852469620000.0,5140,148350,0.6454
2008-01-17,MOCK_STOCK1,EQ,252.10,251.80,253.20,246.40,247.90,248.25,249.70,191450,4780506650000.0,4370,122180,0.6382
2008-01-18,MOCK_STOCK1,EQ,248.25,247.00,249.50,242.60,244.10,243.80,245.90,216380,5319881420000.0,4860,139450,0.6445
2008-01-21,MOCK_STOCK1,EQ,243.80,242.50,244.00,235.20,236.80,237.10,239.40,384520,9205400880000.0,8640,268740,0.6989
2008-01-22,MOCK_STOCK1,EQ,237.10,238.00,245.60,236.50,244.20,244.90,241.80,312680,7560564240000.0,7120,201850,0.6455
2008-01-23,MOCK_STOCK1,EQ,244.90,245.50,250.00,243.80,248.60,248.90,247.20,178940,4423399680000.0,4050,109620,0.6126
2008-01-24,MOCK_STOCK1,EQ,248.90,249.40,252.80,247.00,251.10,251.50,249.90,165210,4128596790000.0,3720,99840,0.6043
2008-01-25,MOCK_STOCK1,EQ,251.50,252.00,256.40,250.50,254.80,255.20,253.60,198760,5040551360000.0,4480,121450,0.6110
2008-01-28,MOCK_STOCK1,EQ,255.20,254.50,255.80,249.00,250.40,250.10,252.00,187340,4719768000000.0,4210,119680,0.6388
2008-01-29,MOCK_STOCK1,EQ,250.10,250.80,255.00,249.50,253.70,254.00,252.40,172580,4355918320000.0,3910,105420,0.6108
2008-01-30,MOCK_STOCK1,EQ,254.00,254.60,258.20,252.00,256.50,256.90,255.30,159640,4075611720000.0,3640,96480,0.6044
2008-01-31,MOCK_STOCK1,EQ,256.90,256.00,257.40,251.20,252.80,253.10,254.20,181250,4607372500000.0,4090,112350,0.6199
